ranking,2013,2014,2015,2016,2017
1,Syracuse,Duke,ND,Maryland,Maryland,
2,ND,Syracuse,Syracuse,Denver,Syracuse,
3,OSU,Loyola,UNC,ND,OSU,
4,Denver,Penn,Denver,Yale,ND,
5,UNC,Denver,Duke,Brown,Denver,
6,Maryland,ND,Maryland,Marquette,JHU,
7,Duke,Maryland,Virginia,Loyola,PSU,
8,PSU,Virginia,Cornell,Syracuse,Albany,
9,Yale,JHU,Albany,Army,UNC,
10,Loyola,Cornell,JHU,Duke,Towson,
11,Cornell,Harvard,Yale,UNC,Duke,
12,Lehigh,UNC,OSU,JHU,AF,
13,Albany,Drexel,Brown,Navy,Marquette,
14,Towson,Albany,Colgate,AF,Loyola,
15,DMU,Bryant,Bryant,Towson,Yale,
16,Bryant,AF,Marist,Quinnipiac,Bryant,
17,,Richmond,Towson,Hartford,Monmouth
18,,Siena,HPU,Hobart,
winner,Duke,Duke,Denver,UNC,Maryland,
runner-up,Syracuse,ND,Maryland,Maryland,OSU,